case_id,driver_gender,year_of_birth,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,stopped_by,stop_date_and_time
1,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,100,Aug 28 2005  1:00AM
2,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Arrest Driver,Yes,16-30 Min,Yes       ,101,Oct  1 2005 12:00AM
3,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,30+ Min,Yes       ,102,Oct  1 2005 12:00AM
4,Male,1975,30,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,103,Oct  2 2005  9:30AM
5,Male,1978,27,Black,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,104,Oct  3 2005  2:00PM
6,Male,1956,49,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,Yes       ,105,Oct  4 2005  1:20AM
7,Male,1980,25,Black,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Reasonable Suspicion,Arrest Driver,Yes,16-30 Min,Yes       ,106,Oct  5 2005 12:20AM
8,Male,1980,25,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Inventory,Probable Cause,N/D,No,30+ Min,No        ,107,Oct  5 2005 10:50PM
9,Male,1947,58,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,108,Oct  7 2005 12:00PM
10,Female,1981,24,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No        ,109,Oct  7 2005 12:45PM
11,Male,1987,18,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Oct  7 2005  1:00PM
12,Male,1986,19,White,Suspicious Person,Other,Yes       ,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes       ,101,Oct  7 2005 11:30PM
