case_id,stop_date,stop_time,driver_gender,year_of_birth,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,stopped_by
1,2005-08-28,01:00,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,16-30 Min,No,100
2,2005-10-01,00:00,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Arrest Driver,Yes,16-30 Min,Yes,101
3,2005-10-01,00:00,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,30+ Min,Yes,102
4,2005-10-02,09:30,Male,1975,30,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,103
5,2005-10-03,14:00,Male,1978,27,Black,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,16-30 Min,No,104
6,2005-10-04,01:20,Male,1956,49,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,Yes,105
7,2005-10-05,00:20,Male,1980,25,Black,Equipment/Inspection Violation,Equipment,Yes,"Probable Cause,Reasonable Suspicion",Arrest Driver,Yes,16-30 Min,Yes,106
8,2005-10-05,22:50,Male,1980,25,Black,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Inventory,Probable Cause",N/D,No,30+ Min,No,107
9,2005-10-07,12:00,Male,1947,58,Black,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,108
10,2005-10-07,12:45,Female,1981,24,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No,109
11,2005-10-07,13:00,Male,1987,18,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
12,2005-10-07,23:30,Male,1986,19,White,Suspicious Person,Other,Yes,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes,101
13,2005-10-08,20:40,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes,102
14,2005-10-10,16:00,Male,1955,50,White,Call for Service,Other,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,103
15,2005-10-11,03:15,Male,1964,41,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,104
16,2005-10-11,13:40,Male,1963,42,White,Other Traffic Violation,Moving violation,Yes,Probable Cause,Citation,No,0-15 Min,Yes,105
17,2005-10-11,23:49,Male,1953,52,Black,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,106
18,2005-10-12,20:20,Male,1977,28,White,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Probable Cause",Arrest Driver,Yes,30+ Min,Yes,107
19,2005-10-12,20:30,Male,1987,18,Hispanic,Other Traffic Violation,Moving violation,Yes,Protective Frisk,Arrest Driver,Yes,0-15 Min,No,108
20,2005-10-12,20:30,Male,1987,18,Hispanic,Other Traffic Violation,Moving violation,Yes,Protective Frisk,Arrest Driver,Yes,0-15 Min,No,109
21,2005-10-16,00:00,Male,1981,24,Black,Speeding,Speeding,Yes,Reasonable Suspicion,Citation,No,16-30 Min,No,100
22,2005-10-16,02:50,Male,1976,29,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,101
23,2005-10-16,10:40,Male,1961,44,Black,Speeding,Speeding,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,30+ Min,No,102
24,2005-10-16,19:30,Male,1977,28,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,103
25,2005-10-17,09:30,Male,1983,22,Black,Speeding,Speeding,Yes,Protective Frisk,Citation,No,0-15 Min,No,104
26,2005-10-18,02:45,Male,1967,38,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,105
27,2005-10-18,23:46,Male,1958,47,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,106
28,2005-10-19,01:00,Male,1956,49,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,107
29,2005-10-20,01:52,Female,1986,19,White,Speeding,Speeding,Yes,Inventory,Arrest Driver,Yes,16-30 Min,No,108
30,2005-10-21,06:05,Male,1961,44,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,109
31,2005-10-21,06:12,Male,1961,44,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
32,2005-10-23,14:40,Male,1978,27,White,Equipment/Inspection Violation,Equipment,Yes,"Inventory,Protective Frisk",Citation,No,0-15 Min,No,101
33,2005-10-23,16:20,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes,Protective Frisk,Citation,No,16-30 Min,No,102
34,2005-10-23,18:40,Male,1980,25,Black,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,30+ Min,No,103
35,2005-10-24,14:10,Male,1979,26,Black,Registration Violation,Registration/plates,Yes,Probable Cause,Citation,No,16-30 Min,Yes,104
