case_id;stop_date;stop_time;driver_gender;year_of_birth;driver_age;driver_race;violation_raw;violation;search_conducted;search_type;stop_outcome;is_arrested;stop_duration;drugs_related_stop;stopped_by
1;28.8.2005;1:00;Male;1979;26;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;16-30 Min;No;100
2;1.10.2005;0:00;Male;1988;17;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Arrest Driver;Yes;16-30 Min;Yes;101
3;1.10.2005;0:00;Male;1988;17;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;30+ Min;Yes;102
4;2.10.2005;9:30;Male;1975;30;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;103
5;3.10.2005;14:00;Male;1978;27;Black;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;16-30 Min;No;104
6;4.10.2005;1:20;Male;1956;49;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;Yes;105
7;5.10.2005;0:20;Male;1980;25;Black;Equipment/Inspection Violation;Equipment;Yes;Probable Cause,Reasonable Suspicion;Arrest Driver;Yes;16-30 Min;Yes;106
8;5.10.2005;22:50;Male;1980;25;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Inventory,Probable Cause;N/D;No;30+ Min;No;107
9;7.10.2005;12:00;Male;1947;58;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;108
10;7.10.2005;12:45;Female;1981;24;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Passenger;Yes;16-30 Min;No;109
11;7.10.2005;13:00;Male;1987;18;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
12;7.10.2005;23:30;Male;1986;19;White;Suspicious Person;Other;Yes;Probable Cause;Arrest Passenger;Yes;16-30 Min;Yes;101
13;8.10.2005;20:40;Male;1987;18;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Arrest Passenger;Yes;16-30 Min;Yes;102
